,show_id,type,title,director,cast,country,date_added,release_year,rating,duration,listed_in,description,tconst
2200,s2201,Movie,fiza,Khalid Mohamed,"['karisma kapoor', 'jaya bhaduri', 'hrithik roshan']",['india'],"August 2, 2018",2000,3,163 min,"Dramas, International Movies, Music & Musicals","Fiza's brother disappears during Mumbai's horrifying 1993 riots. Each day, Fiza and her widowed mother hope that he will return.",13733
2225,s2226,Movie,for love or money,Mark Murphy,"['robert kazinsky', 'samantha barks', 'ed speleers']",['united kingdom'],"August 16, 2019",2019,3,95 min,Comedies,"When a goofy but likable millionaire discovers his fiancée’s plan to steal his wealth, he devises an unromantic scheme to make her life a living hell.",11881
2228,s2229,Movie,for the love of benji,Joe Camp,"['patsy garrett', 'cynthia smith', 'allen fiuzat']",['united states'],"March 6, 2018",1977,2,84 min,Children & Family Movies,"Benji and his owner get separated in Greece. On his quest to find them, he's targeted by various bad guys who want to get their hands on him.",3065
2235,s2236,TV Show,forces of nature,,[],['united kingdom'],"March 1, 2017",2016,3,1 Season,"British TV Shows, Docuseries, Science & Nature TV","This dynamic series spans the globe to explain the complex natural forces that govern the planet, from shape and color to motion and the elements.",15813
2251,s2252,Movie,four weddings and a funeral,Mike Newell,"['hugh grant', 'andie macdowell', 'james fleet']",['united kingdom'],"August 1, 2019",1994,3,118 min,"Classic Movies, Comedies, International Movies","A commitment-phobic Brit tries to reconnect with an alluring American who's about to make a seemingly awful mistake by marrying a wealthy, boring man.",2000
2266,s2267,Movie,freaks,"Adam B. Stein, Zach Lipovsky","['emile hirsch', 'bruce dern', 'lexy kolker']","['united states', 'canada']","March 3, 2020",2018,3,105 min,"Independent Movies, Sci-Fi & Fantasy, Thrillers","Hidden away by her eccentric father, a mysterious young girl uncovers frightening truths when she starts to make contact with the outside world.",7812
2275,s2276,Movie,free willy,Simon Wincer,"['jason james richter', 'lori petty', 'jayne atkinson']","['united states', 'france', 'mexico']","January 1, 2020",1993,3,112 min,"Children & Family Movies, Dramas","Ordered to clean up the graffiti he painted at a marine theme park, a troubled young boy unexpectedly bonds with a killer whale on exhibit.",2153
2282,s2283,TV Show,frequency,,"['peyton list', 'riley smith', 'mekhi phifer']",['united states'],"September 4, 2017",2016,3,1 Season,"Crime TV Shows, TV Dramas, TV Mysteries","A detective seizes a precious opportunity to change the past when she finds she can communicate with her deceased, estranged father via a time warp.",11279
2286,s2287,Movie,friday the 13th,Marcus Nispel,"['jared padalecki', 'danielle panabaker', 'amanda righetti']",['united states'],"January 1, 2020",2009,3,97 min,Horror Movies,"A group of teenage camp counselors raises the ire of Jason Voorhees, a masked, homicidal maniac, in this remake of the classic slasher flick.",15465
2292,s2293,TV Show,from dusk till dawn,,"['d.j. cotrona', 'zane holtz', 'eiza gonzalez']",['united states'],"December 5, 2016",2016,3,3 Seasons,"Classic & Cult TV, TV Action & Adventure, TV Horror",Bank-robbing brothers encounter vengeful lawmen and demons south of the border in this original series based on Robert Rodriguez' cult horror film.,9298
2312,s2313,Movie,fullmetal alchemist,Fumihiko Sori,"['ryosuke yamada', 'tsubasa honda', 'dean fujioka']",['japan'],"February 19, 2018",2017,3,134 min,"Action & Adventure, Dramas, International Movies","While alchemist Edward Elric searches for a way to restore his brother Al's body, the military government and mysterious monsters are watching closely.",15538
2349,s2350,Movie,gangaajal,Prakash Jha,"['ajay devgn', 'gracy singh', 'mohan agashe']",['india'],"January 8, 2021",2003,3,148 min,"Dramas, International Movies","Posted to a small, crime-ridden town, a cop soon learns that cleaning up the system also means confronting the corruption among police and politicians.",16004
2351,s2352,Movie,gangs of new york,Martin Scorsese,"['leonardo dicaprio', 'daniel day-lewis', 'cameron diaz']","['united states', 'italy']","August 20, 2019",2002,3,167 min,Dramas,"In the crime-ridden slums of New York in the 1860s, vengeful orphan Amsterdam Vallon joins the cutthroat gang of his father's killer, Bill the Butcher.",10730
2372,s2373,Movie,genius,Suseenthiran,"['roshan', 'priyaa lal', 'aadukalam naren']",['india'],"February 17, 2019",2018,3,96 min,"Dramas, International Movies",Extreme pressure from his father to excel at school during childhood has dangerous psychological effects on a brilliant but suicidal man’s adult life.,13012
2378,s2379,Movie,george of the jungle 2,David Grossman,"['christopher showerman', 'julie benz', 'angus t. jones']","['united states', 'australia']","December 20, 2016",2003,3,87 min,"Children & Family Movies, Comedies","Now married and raising a son, clumsy ape-man George finds his jungle kingdom in peril as Really Mean Lion challenges him for the throne.",13638
2387,s2388,TV Show,get shorty,,"['ray romano', ""chris o'dowd""]",['united states'],"November 1, 2018",2017,3,1 Season,"Crime TV Shows, TV Comedies, TV Dramas",Organized crime enforcer Miles Daly strives to reinvent himself as a Hollywood filmmaker in this satire based on Elmore Leonard's best-selling novel.,7055
2393,s2394,Movie,ghayal,Rajkumar Santoshi,"['sunny deol', 'meenakshi sheshadri', 'amrish puri']",['india'],"December 31, 2019",1990,3,163 min,"Action & Adventure, Dramas, International Movies","Framed for his older brother's murder, a boxer seeks violent revenge against the true killer who's torn his family apart.",5964
2410,s2411,Movie,gigi,"Vincente Minnelli, Charles Walters","['leslie caron', 'maurice chevalier', 'louis jourdan']",['united states'],"November 1, 2019",1958,2,115 min,"Classic Movies, Comedies, Music & Musicals",Gigi's an avant-garde French waif being groomed as the fille de joie of affluent and handsome Gaston. Soon Gigi metamorphoses into a stunning beauty.,13270
2420,s2421,Movie,girl,Lukas Dhont,"['victor polster', 'arieh worthalter', 'oliver bodart']","['other', 'belgium']","March 15, 2019",2018,3,106 min,"Dramas, International Movies, LGBTQ Movies",Fifteen-year-old ballet dancer Lara faces physical and emotional hurdles as she prepares for gender confirmation surgery. Inspired by a true story.,414
2458,s2459,TV Show,godzilla,"Kobun Shizuno, Hiroyuki Seshita","['mamoru miyano', 'takahiro sakurai', 'kana hanazawa']",['japan'],"January 17, 2018",2017,3,1 Season,TV Shows,"A desperate group of refugees attempts to recolonize Earth 20,000 years after Godzilla took over. But one young man wants revenge above all else.",10282
2463,s2464,Movie,gol maal,Hrishikesh Mukherjee,"['amol palekar', 'bindiya goswami', 'deven verma']",['india'],"December 31, 2019",1979,3,137 min,"Classic Movies, Comedies, International Movies","When circumstances at work compel Ram to pretend to have a twin, his lie works – until the boss wants his daughter to marry Ram’s fictitious brother.",9307
2465,s2466,Movie,goldeneye,Martin Campbell,"['pierce brosnan', 'sean bean', 'izabella scorupco']","['united kingdom', 'united states']","December 31, 2019",1995,3,130 min,Action & Adventure,"Pierce Brosnan takes his first turn as debonair secret agent James Bond, who investigates the destruction of a Russian satellite weapons base.",16552
2476,s2477,Movie,good burger,Brian Robbins,"['kenan thompson', 'kel mitchell', 'abe vigoda']",['united states'],"January 1, 2021",1997,3,96 min,"Children & Family Movies, Comedies","Working at a neighborhood fast-food joint, two teens try to save the restaurant when a giant burger franchise fires up the competition.",11648
2483,s2484,Movie,good luck,Tarek Abdel Moaty,"['ahmed eid', 'may kassab', 'diaa el merghany']",['egypt'],"June 21, 2019",2012,3,99 min,"Dramas, International Movies","Seeking an apartment to share with his wife, an apolitical man starts to question his own modest goals as revolution swirls around him.",1822
2502,s2503,Movie,gosford park,Robert Altman,"['eileen atkins', 'bob balaban', 'alan bates']","['united states', 'united kingdom', 'italy']","November 1, 2019",2001,3,137 min,"Comedies, Dramas, International Movies","In this witty whodunit, wealthy guests and their servants gather for a weekend stay at the home of Sir William McCordle, who is soon found murdered.",14918
2504,s2505,TV Show,gotham,Danny Cannon,"['ben mckenzie', 'donal logue', 'jada pinkett smith']",['united states'],"September 30, 2019",2019,3,5 Seasons,"Crime TV Shows, TV Action & Adventure, TV Dramas","Long before he was commissioner, rookie cop James Gordon takes on Gotham City crime and corruption to avenge the murder of Bruce Wayne's parents.",14844
2505,s2506,Movie,gothika,Mathieu Kassovitz,"['halle berry', 'robert downey jr.', 'charles s. dutton']","['united states', 'france', 'canada']","January 1, 2021",2003,3,98 min,"Horror Movies, Thrillers","After a car crash, a criminal psychiatrist awakens to find that she's a patient in the same mental institution that currently employs her.",17149
2514,s2515,TV Show,grand hotel,,"['yon gonzález', 'amaia salamanca', 'adriana ozores']",['spain']," November 1, 2017",2013,3,3 Seasons,"International TV Shows, Romantic TV Shows, Spanish-Language TV Shows","To learn the truth about his sister's mysterious disappearance, a young man infiltrates a hotel in the guise of a footman and begins an investigation.",16670
2520,s2521,Movie,grass,Tanuj Chopra,"['emily chang', 'pia shah', 'anthony ma']",['united states'],"February 14, 2019",2017,3,57 min,"Comedies, Independent Movies",Good girl Cam recruits her pot-loving bestie Jinky to help deliver a backpack full of weed for her drug-dealing fiancé.,4907
2522,s2523,Movie,grease,Randal Kleiser,"['john travolta', 'olivia newton-john', 'stockard channing']",['united states'],"November 1, 2019",1978,3,110 min,"Classic Movies, Comedies, Music & Musicals",John Travolta and Olivia Newton-John star in this hit musical comedy about a greaser and the good girl he falls for – much to his friends' chagrin.,15062
2555,s2556,TV Show,gunslinger girl,,"['yuuka nanri', 'kanako mitsuhashi', 'eri sendai']",['japan'],,2008,3,2 Seasons,"Anime Series, Crime TV Shows","On the surface, the Social Welfare Agency appears to help orphaned schoolgirls, but it's actually turning them into lethal agents.",13146
2562,s2563,TV Show,gypsy,,"['naomi watts', 'billy crudup', 'sophie cookson']","['united states', 'united kingdom']","June 30, 2017",2017,3,1 Season,TV Dramas,Therapist Jean Holloway develops dangerous and intimate relationships with the people in her patients' lives in this simmering psychological thriller.,10678
2563,s2564,TV Show,h,,"['jamel debbouze', 'éric judor', 'ramzy bedia']",['france'],"September 1, 2020",2002,3,4 Seasons,"International TV Shows, TV Comedies","At a dysfunctional hospital in Paris, three bumbling, eccentric medical employees embark on zany misadventures with surgical imprecision.",6405
2578,s2579,Movie,hairspray,Adam Shankman,"['nikki blonsky', 'john travolta', 'michelle pfeiffer']","['united states', 'united kingdom', 'canada']","January 1, 2020",2007,3,116 min,"Children & Family Movies, Comedies, Music & Musicals","In 1962, ambitious plus-size teen Tracy Turnblad tries to integrate a racially divided Baltimore one Watusi at a time.",11702
2588,s2589,Movie,hamara dil aapke paas hai,Satish Kaushik,"['anil kapoor', 'aishwarya rai bachchan', 'sonali bendre']",['india'],"March 1, 2018",2000,3,158 min,"Dramas, International Movies, Music & Musicals","Love blooms when kind-hearted Avinash takes in Preeti, a woman shunned by society, but the unorthodox living situation creates quite a stir among the neighbors.",15479
2589,s2590,Movie,hamburger hill,John Irvin,"['anthony barille', 'michael boatman', 'don cheadle']",['united states'],"November 23, 2019",1987,3,110 min,"Action & Adventure, Dramas",The Vietnam War's horrors come brutally to life through the eyes of American soldiers trying to take a heavily fortified hill under Vietcong control.,10748
2596,s2597,Movie,hangman,Johnny Martin,"['al pacino', 'karl urban', 'brittany snow']",['united states'],"May 6, 2020",2017,3,99 min,Thrillers,"A homicide detective, a criminal profiler and a journalist team up to nab a serial killer whose murders are inspired by the classic game of Hangman.",12604
2600,s2601,TV Show,hannibal,,"['hugh dancy', 'mads mikkelsen', 'caroline dhavernas']",['united states'],"June 6, 2020",2015,3,3 Seasons,"TV Horror, TV Mysteries, TV Thrillers",This drama series focuses on the early years of the relationship between FBI criminal profiler Will Graham and homicidal cannibal Dr. Hannibal Lecter.,14527
2615,s2616,Movie,happy times,Luis Javier M. Henaine,"['luis arrieta', 'cassandra ciangherotti', 'humberto busto']",['mexico'],"February 8, 2017",2014,2,79 min,"Comedies, International Movies, Romantic Movies","Desperate to break up with his clingy girlfriend, a nerdy cartoonist hires a mysterious agency to do the deed. But the agency has unusual methods.",11741
2622,s2623,Movie,hard lessons,Eric Laneuville,"['denzel washington', 'lynn whitfield', 'richard masur']",['united states'],"October 1, 2011",1986,3,94 min,Dramas,"This drama based on real-life events tells the story of George McKenna, the tough, determined new principal of a notorious Los Angeles high school.",13043
2651,s2652,TV Show,haunted,,[],"['united states', 'other']","October 11, 2019",2019,3,2 Seasons,"Reality TV, TV Horror, TV Thrillers","Real people sit down with friends and family to share terrifying true stories from their past, re-created through chilling re-enactments.",6701
2658,s2659,TV Show,haven,,"['emily rose', 'lucas bryant', 'nicholas campbell']","['canada', 'united states']"," September 8, 2015",2015,3,5 Seasons,"Classic & Cult TV, TV Horror, TV Mysteries","Residents of Haven, Maine, are plagued by supernatural afflictions. To reveal the truth, FBI agent Audrey Parker must delve into her own strange past.",915
2663,s2664,Movie,hazaaron khwaishein aisi,Sudhir Mishra,"['kay kay menon', 'shiney ahuja', 'chitrangada singh']","['india', 'france']","April 15, 2019",2003,3,111 min,"Dramas, International Movies, Romantic Movies","In a politically charged India of the 1970s, three friends are transformed by personal ideologies, dangerous ambitions and matters of the heart.",4338
2670,s2671,Movie,head on,Ana Kokkinos,"['alex dimitriades', 'paul capsis', 'julian garner']",['australia'],"August 25, 2018",1998,3,104 min,"Dramas, Independent Movies, LGBTQ Movies","This edgy drama follows 19-year-old Ari, a gay Greek-Australian whose roiling ethnic- and sexual-identity struggles lead to a wild, 24-hour odyssey.",12903
2677,s2678,Movie,heartbreakers,David Mirkin,"['sigourney weaver', 'jennifer love hewitt', 'ray liotta']",['united states'],"December 31, 2019",2001,3,124 min,"Comedies, Romantic Movies","In this stylish comedy, a mother-daughter con team makes money the old-fashioned way: They use their feminine wiles to swindle it.",15034
2678,s2679,TV Show,heartland,,"['amber marshall', 'michelle morgan', 'graham wardle']",['canada'],"August 1, 2019",2017,3,11 Seasons,TV Dramas,Spunky teenager Amy is reeling from the sudden death of her mother when she and her grandfather are threatened with the loss of their horse ranch.,14749
2684,s2685,TV Show,heidi,,"['monique hore', 'sophia morrison', 'peter mcallum']","['france', 'australia', 'germany']","September 1, 2020",2020,1,1 Season,Kids' TV,A plucky young orphan sent to live with her grandfather in the mountains discovers wonder and adventure around every corner.,6275
2691,s2692,Movie,hellboy,Guillermo del Toro,"['ron perlman', 'john hurt', 'selma blair']",['united states'],"December 1, 2018",2004,3,122 min,"Action & Adventure, Cult Movies, Sci-Fi & Fantasy","This fast-paced action flick tells the dark story of Hellboy, a charismatic demon who's put on Earth by the Nazis to terrorize the rest of the world.",15919
2692,s2693,Movie,hello brother,Sohail Khan,"['salman khan', 'arbaaz khan', 'rani mukerji']",['india'],"January 4, 2021",1999,3,126 min,"Action & Adventure, Comedies, International Movies","After receiving a heart transplant from a murdered man, a cop is followed around by the victim’s ghost, who won’t rest until his death has been avenged.",17659
2703,s2704,Movie,hera pheri,Prakash Mehra,"['amitabh bachchan', 'vinod khanna', 'saira banu']",['india'],"December 31, 2019",1976,3,156 min,"Action & Adventure, Comedies, Dramas",The bond between two crooks and best friends is threatened when one learns that the other's father had a hand in his own tragic past.,12973
2707,s2708,Movie,hero,Corey Yuen,"['takeshi kaneshiro', 'yuen biao', 'valerie chow']","['hong kong', 'china']","August 1, 2018",1997,3,89 min,"Action & Adventure, International Movies","A pugilist from Shantung struggles to rise to the top of the Shanghai triad ladder, where his stellar martial arts talents can shine.",9087
2722,s2723,Movie,hide and seek,Liu Jie,"['wallace huo', 'qin hailu', 'regina wan']",['china'],"August 19, 2017",2016,3,104 min,"International Movies, Thrillers","While living a comfortable life with his wife and child, a germophobic man realizes his estranged brother may have committed a terrible crime.",11665
2733,s2734,Movie,high society,Byun Hyuk,"['park hae-il', 'su ae', 'yoon je-moon']",['south korea'],"January 29, 2019",2018,3,137 min,"Dramas, International Movies","A deputy curator of a chaebol-funded art gallery and her husband, a politically ambitious economics professor, will do anything to join the über-elite.",11961
2737,s2738,Movie,highway,Imtiaz Ali,"['randeep hooda', 'alia bhatt', 'durgesh kumar']",['india'],"August 2, 2018",2014,3,127 min,"Action & Adventure, Dramas, International Movies","City girl Veera is kidnapped on the eve of her wedding, but as her captors take her through the countryside, Veera finds herself feeling emancipated.",3642
2756,s2757,Movie,hitch,Andy Tennant,"['will smith', 'eva mendes', 'kevin james']",['united states'],"January 1, 2020",2005,3,118 min,"Comedies, Romantic Movies","Smooth and sexy Hitch helps clients make a great first impression on a date, but he's thrown when a lovely reporter starts nosing around his business.",17324
2799,s2800,Movie,hook,Steven Spielberg,"['dustin hoffman', 'robin williams', 'julia roberts']",['united states'],"January 15, 2021",1991,3,142 min,Children & Family Movies,"Peter Pan, now grown up and a workaholic, must return to Neverland to save his kids from the clutches of vengeful pirate Captain Hook.",1406
2801,s2802,Movie,hop,Tim Hill,"['james marsden', 'russell brand', 'kaley cuoco']",['united states'],"January 16, 2020",2011,3,95 min,"Children & Family Movies, Comedies",A jobless slacker finds himself beyond busy after he runs over the Easter Bunny and has to take over the rabbit's duties so the holiday can continue.,8231
2830,s2831,Movie,house arrest,"Shashanka Ghosh, Samit Basu","['ali fazal', 'shriya pilgaonkar', 'jim sarbh']",['india'],"November 15, 2019",2019,3,105 min,"Comedies, Independent Movies, International Movies",A world-weary man’s self-imposed home confinement becomes a comedy of errors with the simultaneous arrivals of a peculiar package and a curious journalist.,4630
2832,s2833,TV Show,house of cards,,"['kevin spacey', 'robin wright', 'kate mara']",['united states'],"November 2, 2018",2018,3,6 Seasons,"TV Dramas, TV Thrillers","A ruthless politician will stop at nothing to conquer Washington, D.C., in this Emmy and Golden Globe-winning political drama.",15347
2841,s2842,Movie,how to be a player,Lionel C. Martin,"['bill bellamy', 'natalie desselle', 'lark voorhies']",['united states'],"November 1, 2019",1997,3,94 min,Comedies,"Dray lives life one woman at a time and is the envy of all his friends, until his sister decides to show him the error of his philandering ways.",4092
2847,s2848,Movie,how to make an american quilt,Jocelyn Moorhouse,"['winona ryder', 'anne bancroft', 'ellen burstyn']",['united states'],"April 1, 2018",1995,3,116 min,"Dramas, Romantic Movies","A conflicted young woman spends the summer with her grandmother, her great-aunt and their quilting circle, whose life stories captivate her.",10988
2853,s2854,Movie,howards end,James Ivory,"['anthony hopkins', 'vanessa redgrave', 'helena bonham carter']","['united kingdom', 'japan', 'united states']","March 16, 2017",1992,3,143 min,"Classic Movies, Dramas, Independent Movies","When a husband, acting in his family's ""best interest,"" does not accept his wife's deathbed wish, providence dictates that he pay for his duplicity.",15530
2859,s2860,Movie,hum aapke hain koun,Sooraj R. Barjatya,"['madhuri dixit', 'salman khan', 'mohnish bahl']",['india'],"February 1, 2020",1994,3,193 min,"Classic Movies, Dramas, International Movies","Although Nisha falls for Prem, she agrees to marry his older brother for the good of their families. But fate may have other plans for the lovebirds.",2515
2861,s2862,Movie,human nature,Adam Bolt,[],['united states'],"October 1, 2020",2019,3,95 min,Documentaries,"From breakthrough science to the boundaries of morality, this documentary spotlights a revelation in genetic modification research known as CRISPR.",7854
2877,s2878,Movie,hush,Mike Flanagan,"['john gallagher jr.', 'kate siegel', 'michael trucco']",['united states'],"April 8, 2016",2016,3,82 min,"Horror Movies, Thrillers",A deaf writer who retreated into the woods to live a solitary life must fight for her life in silence when a masked killer appears in her window.,9759
2921,s2922,Movie,i'll sleep when i'm dead,Justin Krook,['steve aoki'],['united states'],"August 19, 2016",2016,3,80 min,"Documentaries, Music & Musicals","Superstar DJ Steve Aoki reflects on the driving force behind his career: his ambitious father, Benihana founder and perennial daredevil Rocky Aoki.",9469
2935,s2936,Movie,iceman,Law Wing-cheong,"['donnie yen', 'wang baoqiang', 'shengyi huang']","['china', 'hong kong']","January 23, 2018",2014,3,104 min,"Action & Adventure, International Movies, Sci-Fi & Fantasy","Four hundred years after they were frozen in time, a Ming Dynasty guard and his three pursuers are defrosted to continue their ancient battle.",12005
2967,s2968,Movie,in my country,Frank Rajah Arase,"['sam dede', 'bimbo manuel', 'okawa shaznay']",[],"October 18, 2019",2018,3,99 min,"Dramas, International Movies","A teacher turns to a dubious man to raise money for her daughter's life-saving surgery, a crisis that is unexpectedly catapulted to a national stage.",16662
2991,s2992,Movie,indiana jones and the last crusade,Steven Spielberg,"['harrison ford', 'sean connery', 'denholm elliott']",['united states'],"January 1, 2019",1989,3,127 min,"Action & Adventure, Children & Family Movies, Classic Movies","Accompanied by his father, Indiana Jones sets off on his third adventure to explore the cradle of civilization on a perilous hunt for the Holy Grail.",16954
2993,s2994,Movie,indiana jones and the temple of doom,Steven Spielberg,"['harrison ford', 'kate capshaw', 'amrish puri']",['united states'],"January 1, 2019",1984,3,119 min,"Action & Adventure, Children & Family Movies, Classic Movies","Indiana Jones, his young sidekick and a spoiled songbird get more than they bargained for when they go to India in search of a missing magical stone.",11781
3003,s3004,Movie,initial d,"Andrew Lau Wai-Keung, Alan Mak","['jay chou', 'anne suzuki', 'edison chen']","['china', 'hong kong']","August 1, 2018",2005,3,109 min,"Action & Adventure, International Movies","By day, an 18-year-old delivers tofu for his father, a retired race car driver; but by night, it's the teen's turn to take the wheel.",11202
3009,s3010,Movie,insan,K. Subhash,"['akshay kumar', 'ajay devgn', 'tusshar kapoor']",['india'],"March 1, 2018",2005,3,141 min,"Action & Adventure, Dramas, International Movies","A grieving policeman and a rickshaw driver are brought together by a dark, tragic secret that will change their lives forever.",3991
3020,s3021,TV Show,inspector gadget,,"['ivan sherry', 'tara strong', 'martin roach']","['canada', 'united states', 'france']","May 18, 2018",2017,1,4 Seasons,"Crime TV Shows, Kids' TV, TV Comedies","Inspector Gadget is back and must face his old enemy, the evil Dr. Claw, who has reactivated MAD, his global crime syndicate.",11254
3028,s3029,TV Show,intersection,,"['i̇brahim çelikkol', 'belçim bilgin', 'alican yücesoy']",['turkey'],"July 1, 2017",2016,3,3 Seasons,"International TV Shows, Romantic TV Shows, TV Dramas","Two wealthy businessmen with car obsessions cross paths with an idealist pediatrician. Love enters the equation, and their lives change for good.",12128
3033,s3034,TV Show,into the night,,"['pauline etienne', 'laurent capelluto', 'stefano cassetti']",['belgium'],"May 1, 2020",2020,3,1 Season,"International TV Shows, TV Dramas, TV Mysteries",Passengers and crew aboard a hijacked overnight flight scramble to outrace the sun as a mysterious cosmic event wreaks havoc on the world below.,9056
3053,s3054,TV Show,iris,,"['lee byung-hun', 'kim tae-hee', 'jeong jun-ho']",['south korea'],"May 16, 2020",2009,3,1 Season,"International TV Shows, Korean TV Shows, TV Action & Adventure",Two friends' lives are changed forever when they are recruited by a top-secret organization tasked with protecting the country from foreign threats.,15361
3076,s3077,Movie,it takes two,Andy Tennant,"['kirstie alley', 'steve guttenberg', 'mary-kate olsen']",['united states'],"November 20, 2019",1995,3,101 min,"Children & Family Movies, Comedies","The Olsen twins put a cute new spin on Mark Twain's classic tale ""The Prince and the Pauper,"" playing identical 9-year-olds from very different backgrounds: orphaned Amanda and wealthy Alyssa.",7209
3105,s3106,Movie,jackpot,Dustin Nguyen,"['chi tai', 'lan ngoc', 'dustin nguyen']",['other'],"October 6, 2018",2015,3,92 min,"Comedies, Dramas, International Movies",A lottery ticket salesperson faces an ethical dilemma after setting aside a soon-to-be winning ticket for a customer to pick up and pay for later.,1065
3106,s3107,Movie,jacob's ladder,David M. Rosenthal,"['michael ealy', 'jesse williams', 'nicole beharie']",['united states'],"December 22, 2019",2019,3,90 min,Thrillers,"After being reunited with a brother he thought was killed in combat, a former army medic begins to experience violent, paranoid visions.",14250
3130,s3131,Movie,jay and silent bob strike back,Kevin Smith,"['jason mewes', 'kevin smith', 'ben affleck']",['united states'],"January 1, 2019",2001,3,105 min,"Comedies, Cult Movies","Jay and Silent Bob's comic book alter egos have been sold to Hollywood without permission, so they head to Tinseltown to sabotage the production.",5363
3152,s3153,TV Show,jericho,,"['skeet ulrich', 'lennie james', 'ashley scott']",['united states'],"August 16, 2017",2008,3,2 Seasons,"Classic & Cult TV, TV Action & Adventure, TV Dramas","Jake returns to his Kansas town to collect an inheritance, but a nuclear blast cuts off the outside world and makes him a reluctant leader amid chaos.",2531
3156,s3157,Movie,jerry seinfeld: i'm telling you for the last time,Marty Callner,['jerry seinfeld'],['united states'],"January 30, 2018",1998,3,69 min,Stand-Up Comedy,"Months after his classic TV sitcom ends, the legendary comic returns to his stand-up roots to deliver his best jokes on a sold-out international tour.",17725
3163,s3164,Movie,jhankaar beats,Sujoy Ghosh,"['rahul bose', 'sanjay suri', 'rinke khanna']",['india'],"April 15, 2019",2003,3,131 min,"Comedies, International Movies, Music & Musicals","Juggling personal predicaments and workplace woes, three buddies and bandmates practice for their ultimate dream: winning a coveted music competition.",15467
3176,s3177,Movie,jimi hendrix,Joe Boyd,"['jimi hendrix', 'eric clapton', 'billy cox']",['united states'],"November 1, 2019",1973,3,102 min,"Documentaries, Music & Musicals","Jimi Hendrix's family, friends, and fellow musicians discuss his life and influence. Hendrix also appears in classic performance footage.",12462
3179,s3180,Movie,jimmy neutron: boy genius,John A. Davis,"['debi derryberry', 'jeffrey garcia', 'rob paulsen']",['united states'],"January 1, 2020",2001,2,83 min,"Children & Family Movies, Comedies, Sci-Fi & Fantasy","When gooey green aliens kidnap all the adults in Retroville, it's up to 11-year-old Jimmy Neutron to come up with a plan to rescue them.",563
3221,s3222,Movie,joseph: king of dreams,"Rob LaDuca, Robert C. Ramirez","['ben affleck', 'mark hamill', 'richard herd']",['united states'],"September 27, 2011",2000,3,75 min,"Children & Family Movies, Dramas, Faith & Spirituality","With his gift of dream interpretation and his brilliantly colored coat, Joseph inspires jealousy in his brothers in this animated Bible story.",6370
3233,s3234,Movie,judwaa,David Dhawan,"['salman khan', 'karisma kapoor', 'rambha']",['india'],"December 31, 2019",1997,3,133 min,"Comedies, International Movies, Romantic Movies","Separated at birth, a pair of identical twins unexpectedly reunite as adults and embark on a madcap mission to take down a common enemy from their past.",14291
3262,s3263,Movie,k-19: the widowmaker,Kathryn Bigelow,"['harrison ford', 'liam neeson', 'peter sarsgaard']","['united kingdom', 'germany', 'canada']","November 21, 2019",2002,3,138 min,"Action & Adventure, Dramas","On board Russia's first nuclear ballistic submarine, Capt. Vostrikov must race against time to prevent a Chernobyl-like explosion.",14759
3274,s3275,Movie,kaal,Soham Shah,"['ajay devgn', 'vivek oberoi', 'john abraham']",['india'],"April 1, 2020",2005,3,126 min,"Horror Movies, International Movies, Thrillers","Trapped in a national park, a tiger expert and a group of hunters turn to an enigmatic local for help when they mysteriously begin to die one by one.",7549
3276,s3277,Movie,kaalia,Tinnu Anand,"['amitabh bachchan', 'asha parekh', 'parveen babi']",['india'],"December 31, 2019",1981,3,173 min,"Action & Adventure, Dramas, International Movies","Jailed for robbing his brother’s unscrupulous employer, a simpleton has a transformation while in prison, emerging with a violent mission for revenge.",3131
3282,s3283,Movie,kabhi khushi kabhie gham,Karan Johar,"['amitabh bachchan', 'jaya bhaduri', 'shah rukh khan']",['india'],"April 1, 2020",2001,3,209 min,"Dramas, International Movies","Years after his father disowns his adopted brother for marrying a woman of lower social standing, a young man goes on a mission to reunite his family.",3115
3314,s3315,Movie,kate & leopold,James Mangold,"['meg ryan', 'hugh jackman', 'liev schreiber']",['united states'],"January 1, 2020",2001,3,118 min,"Comedies, Romantic Movies",A present-day woman takes responsibility for guiding a charming time-traveling 19th-century nobleman through the 21st century.,12090
3350,s3351,Movie,kevin james: sweat the small stuff,Paul Miller,['kevin james'],['united states'],"February 20, 2019",2001,3,42 min,Stand-Up Comedy,The film and television star riffs on life's many royal pains in this hourlong special taped at New York City's Hudson Theatre in 2001.,7541
3353,s3354,Movie,khalnayak,Subhash Ghai,"['sanjay dutt', 'madhuri dixit', 'jackie shroff']",['india'],"March 1, 2018",1993,3,170 min,"Action & Adventure, Dramas, International Movies",A prison guard goes undercover as a dancer to try and recapture an escaped criminal and restore her police inspector boyfriend's reputation.,12420
3357,s3358,Movie,khoobsurat,Shashanka Ghosh,"['sonam kapoor', 'fawad khan', 'kiron kher']",['india'],"October 1, 2018",2014,3,121 min,"Comedies, International Movies, Romantic Movies",A free-spirited doctor is hired to assist an injured king and winds up challenging his family's tradition-bound lifestyle as she falls for his son.,4404
